iter	RMSE
0	0.3521523242
1	0.3423575777
2	0.3327459417
3	0.3234838895
4	0.31432629
5	0.3058823167
6	0.2975563193
7	0.2896730337
8	0.2818564653
9	0.2742216716
10	0.2668017395
11	0.2594050917
12	0.2523521642
13	0.2454401067
14	0.2387861047
15	0.2322905366
16	0.2259964359
17	0.2199009611
18	0.2140386875
19	0.2082906452
20	0.2027235239
21	0.197585988
22	0.1924536893
23	0.1873635237
24	0.1824298096
25	0.1776230779
26	0.1730470075
27	0.1683871638
28	0.1639391836
29	0.1596825543
30	0.1556288888
31	0.151678941
32	0.1478715924
33	0.1440985808
34	0.140442424
35	0.1370652767
36	0.1336470169
37	0.1305376916
38	0.1272393711
39	0.1241126196
40	0.1209662865
41	0.1181207378
42	0.1152645792
43	0.1123906177
44	0.1097046886
45	0.1069986391
46	0.1045197766
47	0.1020277632
48	0.09961963558
49	0.09729348069
50	0.09502061157
51	0.09280766766
52	0.09068148587
53	0.08861444798
54	0.08673624238
55	0.08488594341
56	0.08308197012
57	0.08138487492
58	0.07960586418
59	0.07793032096
60	0.07630758901
61	0.07480517532
62	0.07333090471
63	0.07187961866
64	0.07047650089
65	0.06911007274
66	0.06777903643
67	0.06651457429
68	0.06527984224
69	0.06421975726
70	0.06306192757
71	0.06199380669
72	0.06094728644
73	0.05990989472
74	0.0589008477
75	0.0579620622
76	0.05708659794
77	0.05619943103
78	0.05536509576
79	0.05452752151
80	0.05371783791
81	0.05291877927
82	0.05215574787
83	0.05143930982
84	0.0507381801
85	0.05011745287
86	0.04947462313
87	0.04890065241
88	0.04832356286
89	0.04779054553
90	0.04728173048
91	0.04676866319
92	0.04623699318
93	0.04575138671
94	0.04526849101
95	0.04482130863
96	0.04439886901
97	0.04396655204
98	0.04362628784
99	0.04322799804
100	0.04287888326
101	0.04253199315
102	0.04219058096
103	0.04189881061
104	0.04158921296
105	0.04128652527
106	0.04099555968
107	0.04072930156
108	0.04045656674
109	0.04020158539
110	0.0399577797
111	0.03971856375
112	0.03950044708
113	0.03930015797
114	0.03908539372
115	0.03887793178
116	0.03870029527
117	0.03853322023
118	0.03835864162
119	0.03817874846
120	0.03801934196
121	0.03786497062
122	0.03771682651
123	0.03758952937
124	0.03744803832
125	0.03732434168
126	0.03719284277
127	0.03706297918
128	0.03695932401
129	0.03684166403
130	0.03673265213
131	0.03664574987
132	0.03652979791
133	0.03641447676
134	0.03632922376
135	0.03624190814
136	0.03614670966
137	0.03606932557
138	0.03597547747
139	0.03590531706
140	0.0358275389
141	0.0357573256
142	0.03569589176
143	0.03563200852
144	0.03555203759
145	0.03549472583
146	0.03542863098
147	0.03536240379
148	0.0353127506
149	0.03525604923
150	0.03520451472
151	0.0351491762
152	0.03510371399
153	0.03505270165
154	0.03500490103
155	0.03495776852
156	0.03490810903
157	0.03485755307
158	0.03482090335
159	0.03476763955
160	0.03472740631
161	0.03468278005
162	0.03464887379
163	0.03461935148
164	0.03458998568
165	0.03454941026
166	0.03451046147
167	0.03446780828
168	0.03442215495
169	0.03439161388
170	0.03435279038
171	0.03431693345
172	0.03427468825
173	0.03424093475
174	0.0342072882
175	0.03417509244
176	0.03414778785
177	0.03412654188
178	0.03409354345
179	0.03406520646
180	0.0340370932
181	0.03400456869
182	0.03398056721
183	0.03395853605
184	0.03393643561
